text,correct_alternative,incorrect_alternative1,incorrect_alternative2
Quem foi o autor do 'Guernica'?,Pablo Picasso,Salvador Dali,Vincent van Gogh
Qual é a estrutura celular responsável pela produção de energia?,Mitocôndria,Cloroplasto,Núcleo
Qual é a estrela mais próxima da Terra?,Sol,Proxima Centauri,Alpha Centauri
Quem foi o autor de 'Mona Lisa'?,Leonardo da Vinci,Michelangelo,Rafael
Qual é o maior animal terrestre do mundo?,Elefante-africano,Baleia-azul,Girafa
Quem foi o ator principal de 'Matrix'?,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Qual é a estrela mais brilhante no céu noturno?,Sirius,Canopus,Rigel
Quem foi o autor de 'O Grito'?,Edvard Munch,Vincent van Gogh,Pablo Picasso
Qual é o animal mais rápido do mundo?,Guepardo,Leão,Tigre
Qual é a capital da Espanha?,Madrid,Barcelona,Valência
Quem foi o autor de '1984'?,George Orwell,J. R. R. Tolkien,C. S. Lewis
Qual é a capital da Grécia?,Atenas,Santorini,Mykonos
Qual é o maior réptil do mundo?,Crocodilo-de-água-salgada,Jiboia-africana,Tartaruga-gigante-verde
Qual é a maior ilha do mundo?,Groenlândia,Nova Zelândia,Brasil
Quem foi o autor de 'O Corcunda de Notre Dame'?,Victor Hugo,Leo Tolstoy,Fyodor Dostoevsky
Quem foi o fundador da Apple?,Steve Jobs,Bill Gates,Mark Zuckerberg
Qual é a capital da Bélgica?,Bruxelas,Amsterdã,Luxemburgo
Quem foi o criador do Facebook?,Mark Zuckerberg,Steve Jobs,Bill Gates
Qual é a unidade de medida de tempo no Sistema Internacional?,Segundo,Minuto,Hora
Qual é a capital da Áustria?,Viena,Salzburgo,Innsbruck
Qual é a unidade de medida de comprimento no Sistema Internacional?,Metro,Quilômetro,Centímetro
Qual é a capital da Eslováquia?,Bratislava,Praga,Viena
Qual é o nome do primeiro livro da Bíblia?,Gênesis,Êxodo,Levítico
Quantos planetas há no sistema solar?,8,9,10
Quais são os três estados do Brasil que têm a maior área territorial?,"Amazonas, Mato Grosso e Pará","São Paulo, Rio de Janeiro e Minas Gerais","Espírito Santo, Bahia e Pernambuco"
Qual é o menor planeta do sistema solar?,Mercúrio,Marte,Júpiter
Quem pintou 'A Última Ceia'?,Leonardo da Vinci,Michelangelo,Rafael
Quem é considerado o pai da física clássica?,Isaac Newton,Albert Einstein,Stephen Hawking
Quantas patas tem uma abelha?,6,2,4
Qual é o nome do personagem principal do jogo The Legend of Zelda?,Link,Mario,Sonic
Em que ano foi lançado o primeiro jogo da série Super Mario Bros?,1985,1990,1995
Qual é o jogo considerado o melhor do mundo pela revista americana Game Informer em 2020?,The Last of Us Part II,Final Fantasy VII Remake,Ghost of Tsushima
Quem é o desenvolvedor do jogo Minecraft?,Mojang Studios,Rockstar Games,Ubisoft
Qual é o nome do líder da Revolução Francesa?,Maximilien de Robespierre,Adolf Hitler,José de San Martín
Quem é o autor da obra O Príncipe?,Maquiavel,Platão,Aristóteles
Qual é o ponto mais alto do Brasil?,Pico da Neblina,Pico da Bandeira,Morro do Pico
Qual é o resultado da soma de 3 + 2 x 4?,11,13,15
Qual foi o primeiro filme com som lançado nos Estados Unidos?,The Jazz Singer,The Phantom of the Opera,Frankenstein
Qual é o nome do sistema operacional mais utilizado em computadores pessoais?,Windows,MacOS,Linux
Qual é a unidade de medida da força no sistema internacional?,Newton,Watt,Metro
Qual é a raiz quadrada de 16?,4,8,12
Qual é o elemento químico com o símbolo H?,Hidrogênio,Hélio,Hólio
Qual é a altura da Torre Eiffel?,324 metros,432 metros,541 metros
Qual é o maior planeta do sistema solar?,Júpiter,Saturno,Netuno
Qual é o órgão responsável por filtrar o sangue?,Rins,Fígado,Pulmões
Qual é o órgão responsável por absorver os nutrientes dos alimentos?,Intestino,Estômago,Pâncreas
Quem cantou 'Like a Virgin'?,Madonna,Cyndi Lauper,Pat Benatar
Quem cantou 'Walking on Sunshine'?,Katrina and the Waves,A-ha,Tears for Fears
Quem cantou 'Girls Just Want to Have Fun'?,Cyndi Lauper,Madonna,Pat Benatar
Qual foi o primeiro país a sediar as Olimpíadas modernas?,Grécia,França,Estados Unidos
Qual é a medalha mais valiosa nas Olimpíadas?,Ouro,Prata,Bronze
Quem escreveu 'O Alquimista'?,Paulo Coelho,J.K. Rowling,Stephen King
Quem escreveu 'As Vantagens de Ser Invisível'?,Stephen Chbosky,John Green,Rainbow Rowell
Onde fica o Cristo Redentor?,"Rio de Janeiro, Brasil","São Paulo, Brasil","Buenos Aires, Argentina"
Qual é o edifício mais alto do mundo?,"Burj Khalifa, Dubai","Empire State Building, Nova York","Sears Tower, Chicago"
Onde fica o Taj Mahal?,"Agra, Índia","Delhi, Índia","Chennai, Índia"
Qual é o nome do vocalista da banda inglesa Coldplay?,Chris Martin,Adam Levine,Bono
Qual é a banda inglesa tem como vocalista Mick Jagger?,Rolling Stones,Oasis,The Verve
Quem foi o primeiro país a sediar a Copa do Mundo de Futebol?,Uruguai,Brasil,Alemanha
Qual foi a seleção campeã da Copa do Mundo de 2018?,França,Brasil,Alemanha
Que meio de transporte é usado para subir e descer montanhas?,Teleférico,Avião,Carro
Em que ano foi lançado o filme 'Meu Primeiro Amor'?,1991,2002,1995
Qual é o nome do protagonista do livro 1984?,Winston Smith,George Orwell,Alex DeLarge
Quem é a autora de Frankenstein?,Mary Shelley,Emily Brontë,Charlotte Brontë
